fase,epoch,loss,accuracy,val_loss,val_accuracy
1,1,0.8476,0.7136,0.4188,0.8602
1,2,0.7296,0.7522,0.3984,0.8665
1,3,0.7204,0.7555,0.3890,0.8672
1,4,0.7159,0.7584,0.3830,0.8691
1,5,0.7156,0.7604,0.3870,0.8694
1,6,0.7184,0.7572,0.3871,0.8661
1,7,0.7195,0.7584,0.3914,0.8658
1,8,0.7192,0.7573,0.3839,0.8676
1,9,0.7175,0.7593,0.3882,0.8632
1,10,0.7172,0.7591,0.3898,0.8636
2,1,0.4411,0.6497,0.2585,0.8533
2,2,0.2951,0.7175,0.2075,0.8661
2,3,0.2310,0.7457,0.1713,0.8823
2,4,0.1881,0.7813,0.1397,0.8948
2,5,0.1608,0.8190,0.1248,0.9114
2,6,0.1490,0.8438,0.1179,0.9287
2,7,0.1412,0.8610,0.1131,0.9371
2,8,0.1357,0.8748,0.1099,0.9412
2,9,0.1313,0.8850,0.1083,0.9430
2,10,0.1277,0.8933,0.1058,0.9492
2,11,0.1245,0.9014,0.1041,0.9540
2,12,0.1222,0.9062,0.1035,0.9548
2,13,0.1198,0.9122,0.1022,0.9588
2,14,0.1179,0.9166,0.1013,0.9588
2,15,0.1160,0.9219,0.0999,0.9643
2,16,0.1142,0.9267,0.0994,0.9654
2,17,0.1131,0.9284,0.0979,0.9687
2,18,0.1117,0.9333,0.0982,0.9662
2,19,0.1105,0.9360,0.0970,0.9713
2,20,0.1089,0.9398,0.0961,0.9735
2,21,0.1081,0.9418,0.0957,0.9750
2,22,0.1071,0.9443,0.0947,0.9754
2,23,0.1060,0.9473,0.0950,0.9746
2,24,0.1054,0.9482,0.0945,0.9754
2,25,0.1046,0.9501,0.0937,0.9768
2,26,0.1039,0.9525,0.0938,0.9761
2,27,0.1031,0.9549,0.0931,0.9783
2,28,0.1026,0.9552,0.0929,0.9779
2,29,0.1017,0.9578,0.0926,0.9801
2,30,0.1013,0.9595,0.0916,0.9812
2,31,0.1006,0.9614,0.0916,0.9809
2,32,0.0999,0.9621,0.0911,0.9812
2,33,0.0996,0.9631,0.0910,0.9823
2,34,0.0990,0.9652,0.0909,0.9812
2,35,0.0986,0.9663,0.0904,0.9842
2,36,0.0981,0.9670,0.0903,0.9827
2,37,0.0976,0.9683,0.0903,0.9827
2,38,0.0974,0.9685,0.0900,0.9827
2,39,0.0969,0.9700,0.0897,0.9827
2,40,0.0965,0.9712,0.0895,0.9842
2,41,0.0961,0.9711,0.0891,0.9853
2,42,0.0960,0.9725,0.0893,0.9846
2,43,0.0958,0.9722,0.0889,0.9853
2,44,0.0955,0.9738,0.0889,0.9849
2,45,0.0954,0.9740,0.0889,0.9849
2,46,0.0951,0.9744,0.0886,0.9853
2,47,0.0949,0.9755,0.0887,0.9853
2,48,0.0947,0.9762,0.0886,0.9860
2,49,0.0948,0.9747,0.0886,0.9857
2,50,0.0946,0.9755,0.0886,0.9849
2,51,0.0946,0.9753,0.0885,0.9857
2,52,0.0946,0.9755,0.0884,0.9853
2,53,0.0945,0.9758,0.0884,0.9853
2,54,0.0944,0.9757,0.0882,0.9853
2,55,0.0943,0.9756,0.0884,0.9853
2,56,0.0943,0.9762,0.0883,0.9853
2,57,0.0941,0.9762,0.0882,0.9853
2,58,0.0942,0.9760,0.0883,0.9853
