fase,epoch,loss,accuracy,val_loss,val_accuracy
1,1,0.5058,0.8291,0.4820,0.8334
1,2,0.3714,0.8717,0.4553,0.8455
1,3,0.3544,0.8780,0.5006,0.8345
1,4,0.3431,0.8811,0.4515,0.8522
1,5,0.3451,0.8798,0.4393,0.8551
1,6,0.3396,0.8826,0.4053,0.8680
1,7,0.3366,0.8849,0.4350,0.8606
1,8,0.3358,0.8860,0.4725,0.8573
1,9,0.3397,0.8833,0.4119,0.8698
1,10,0.3329,0.8861,0.3864,0.8735
2,1,0.3772,0.8946,0.4889,0.8632
2,2,0.1816,0.9379,0.5090,0.8841
2,3,0.1459,0.9496,0.3684,0.9040
2,4,0.1207,0.9588,0.2765,0.9272
2,5,0.1037,0.9646,0.2011,0.9434
2,6,0.0900,0.9693,0.2107,0.9434
2,7,0.0829,0.9718,0.1615,0.9544
2,8,0.0755,0.9744,0.1845,0.9500
2,9,0.0687,0.9769,0.1129,0.9632
2,10,0.0632,0.9775,0.1667,0.9559
2,11,0.0594,0.9797,0.1205,0.9640
2,12,0.0560,0.9807,0.1362,0.9651
2,13,0.0503,0.9829,0.1096,0.9695
2,14,0.0510,0.9828,0.1389,0.9640
2,15,0.0489,0.9831,0.1621,0.9573
2,16,0.0437,0.9851,0.1426,0.9651
2,17,0.0437,0.9855,0.1468,0.9603
2,18,0.0303,0.9897,0.1243,0.9651
2,19,0.0267,0.9908,0.0973,0.9724
2,20,0.0233,0.9919,0.1050,0.9676
2,21,0.0232,0.9920,0.1233,0.9673
2,22,0.0232,0.9921,0.0917,0.9761
2,23,0.0219,0.9922,0.0931,0.9724
2,24,0.0205,0.9928,0.1090,0.9709
2,25,0.0199,0.9928,0.1148,0.9717
2,26,0.0186,0.9935,0.1168,0.9713
2,27,0.0151,0.9948,0.1010,0.9743
2,28,0.0137,0.9952,0.0909,0.9779
2,29,0.0133,0.9955,0.0954,0.9765
2,30,0.0123,0.9957,0.0955,0.9787
2,31,0.0114,0.9961,0.0953,0.9772
2,32,0.0119,0.9960,0.1013,0.9750
2,33,0.0110,0.9962,0.1032,0.9735
2,34,0.0110,0.9964,0.0950,0.9746
2,35,0.0088,0.9970,0.0869,0.9776
2,36,0.0084,0.9971,0.0791,0.9790
2,37,0.0086,0.9971,0.0908,0.9783
2,38,0.0088,0.9972,0.0920,0.9790
2,39,0.0079,0.9973,0.0917,0.9776
2,40,0.0083,0.9974,0.0863,0.9768
